Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield,N_mean,P_mean,K_mean,ph_mean,temperature_mean,humidity_mean,soil_rainfall_mean,NPK_Index,Rainfall_Fert_Ratio,Log_Area,Log_Production,Season_encoded,Crop_encoded,State_encoded
Mesta,1997,Kharif,Assam,5915.0,29003.0,2051.4,562930.55,1833.65,4.568947368,40.09,48.44,19.87,6.425470922140001,23.988957895200002,65.1184255887,84.766987663,36.13333333333333,0.0036441375510042028,8.68541582383069,10.275189030491484,1,26,2
Niger seed,1997,Whole Year,Assam,9914.0,5076.0,2051.4,943515.38,3073.34,0.482352941,40.09,48.44,19.87,6.425470922140001,23.988957895200002,65.1184255887,84.766987663,36.13333333333333,0.002174207086897633,9.201804040953895,8.532475814947395,4,29,2
Onion,1997,Whole Year,Assam,7832.0,17943.0,2051.4,745371.44,2427.92,2.342608696,40.09,48.44,19.87,6.425470922140001,23.988957895200002,65.1184255887,84.766987663,36.13333333333333,0.00275218117804302,8.96610085736724,9.795011076200044,4,31,2
Other  Rabi pulses,1997,Rabi,Assam,108297.0,58272.0,2051.4,10306625.49,33572.07,0.520869565,40.09,48.44,19.87,6.425470922140001,23.988957895200002,65.1184255887,84.766987663,36.13333333333333,0.00019903699838064084,11.592641965597878,10.972894143280692,2,32,2
Potato,1997,Whole Year,Assam,75259.0,304705.5,2051.4,7162399.03,23330.29,5.0722222225,40.09,48.44,19.87,6.425470922140001,23.988957895200002,65.1184255887,84.766987663,36.13333333333333,0.0002864123745403257,11.228704064147427,12.627104297204422,4,37,2
Rapeseed &Mustard,1997,Rabi,Assam,185695.0,154772.0,2051.4,24727596.07,49569.2,0.554782609,40.09,48.44,19.87,6.425470922140001,23.988957895200002,65.1184255887,84.766987663,36.13333333333333,8.295994124268541e-05,12.131866206990335,11.949714806320419,2,39,2
Rice,1997,Autumn,Assam,185695.0,304705.5,2051.4,24727596.07,49569.2,0.780869565,79.89,47.58,39.87,6.425470922140001,23.6893322105,82.2728215389,236.181113594,55.78,8.295994124268541e-05,12.131866206990335,12.627104297204422,0,40,2
Rice,1997,Summer,Assam,174974.0,209623.0,2051.4,16652275.58,49569.2,1.060434783,79.89,47.58,39.87,6.425470922140001,23.6893322105,82.2728215389,236.181113594,55.78,0.00012319036320017693,12.07239838555774,12.253070728690757,3,40,2
Rice,1997,Winter,Assam,185695.0,304705.5,2051.4,24727596.07,49569.2,0.941304348,79.89,47.58,39.87,6.425470922140001,23.6893322105,82.2728215389,236.181113594,55.78,8.295994124268541e-05,12.131866206990335,12.627104297204422,5,40,2
Sesamum,1997,Whole Year,Assam,15765.0,8257.0,2051.4,1500355.05,4887.15,0.487391304,40.09,48.44,19.87,6.425470922140001,23.988957895200002,65.1184255887,84.766987663,36.13333333333333,0.001367275454382978,9.665611001619853,9.018937706446035,4,43,2
Small millets,1997,Kharif,Assam,10490.0,5391.0,2051.4,998333.3,3251.9,0.473,40.09,48.44,19.87,6.425470922140001,23.988957895200002,65.1184255887,84.766987663,36.13333333333333,0.0020548227182017086,9.258273025731485,8.592671652592143,1,44,2
Sugarcane,1997,Kharif,Assam,31318.0,304705.5,2051.4,2980534.06,9708.58,5.0722222225,40.09,48.44,19.87,6.425470922140001,23.988957895200002,65.1184255887,84.766987663,36.13333333333333,0.0006882656834105485,10.351980221114811,12.627104297204422,1,46,2
Sweet potato,1997,Whole Year,Assam,9380.0,32618.0,2051.4,892694.6,2907.8,3.440434783,40.09,48.44,19.87,6.425470922140001,23.988957895200002,65.1184255887,84.766987663,36.13333333333333,0.0022979837696074676,9.14644164612595,10.392650219665859,4,48,2
Tapioca,1997,Whole Year,Assam,2465.0,11728.0,2051.4,234594.05,764.15,4.41826087,40.09,48.44,19.87,6.425470922140001,23.988957895200002,65.1184255887,84.766987663,36.13333333333333,0.008744430029533873,7.81035268372429,9.369819686521504,4,49,2
Tobacco,1997,Whole Year,Assam,433.0,26.0,2051.4,41208.61,134.23,0.38,40.09,48.44,19.87,6.425470922140001,23.988957895200002,65.1184255887,84.766987663,36.13333333333333,0.049779650911522824,6.073044534100405,3.295836866004329,4,50,2
Turmeric,1997,Whole Year,Assam,10071.0,6974.0,2051.4,958457.07,3122.01,0.67,40.09,48.44,19.87,6.425470922140001,23.988957895200002,65.1184255887,84.766987663,36.13333333333333,0.002140312721244029,9.217514575724183,8.850087606689566,4,51,2
Wheat,1997,Rabi,Assam,84698.0,110054.0,2051.4,8060708.66,26256.38,1.25952381,40.09,48.44,19.87,6.425470922140001,23.988957895200002,65.1184255887,84.766987663,36.13333333333333,0.00025449372158629517,11.346859074195008,11.608735519816204,2,53,2
Arecanut,1997,Whole Year,Karnataka,93100.0,133342.0,1266.7,8860327.0,28861.0,1.293571429,40.09,48.44,19.87,6.425470922140001,23.988957895200002,65.1184255887,84.766987663,36.13333333333333,0.00014296310475187825,11.441440204346033,11.800680034794011,4,0,12
Arhar/Tur,1997,Kharif,Karnataka,185695.0,98473.0,1266.7,24727596.07,49569.2,0.268235294,20.73,67.73,20.29,5.794174879790001,27.7417622259,48.0616330847,149.4575638135,36.25,5.122616631184051e-05,12.131866206990335,11.497547832925905,1,1,12
Bajra,1997,Kharif,Karnataka,185695.0,132056.0,1266.7,24727596.07,49569.2,0.404545455,40.09,48.44,19.87,6.425470922140001,23.988957895200002,65.1184255887,84.766987663,36.13333333333333,5.122616631184051e-05,12.131866206990335,11.790988926543687,1,2,12
Bajra,1997,Summer,Karnataka,820.0,662.0,1266.7,78039.4,254.2,0.81,40.09,48.44,19.87,6.425470922140001,23.988957895200002,65.1184255887,84.766987663,36.13333333333333,0.01623133658976633,6.710523109452428,6.4967749901858625,3,2,12
Black pepper,1997,Kharif,Karnataka,3825.0,924.0,1266.7,364025.25,1185.75,0.4375,40.09,48.44,19.87,6.425470922140001,23.988957895200002,65.1184255887,84.766987663,36.13333333333333,0.0034796941154655744,8.249575150000199,6.829793737512425,1,5,12
Cardamom,1997,Whole Year,Karnataka,21230.0,1214.0,1266.7,2020459.1,6581.3,0.058571429,40.09,48.44,19.87,6.425470922140001,23.988957895200002,65.1184255887,84.766987663,36.13333333333333,0.0006269364091871946,9.963217656743895,7.102499355774649,4,6,12
Coriander,1997,Whole Year,Karnataka,17317.0,2853.0,1266.7,1648058.89,5368.27,0.121333333,40.09,48.44,19.87,6.425470922140001,23.988957895200002,65.1184255887,84.766987663,36.13333333333333,0.0007686007090434075,9.759501702007746,7.956476798036782,4,10,12
Dry chillies,1997,Kharif,Karnataka,185695.0,139206.0,1266.7,17756723.43,49569.2,1.078333333,40.09,48.44,19.87,6.425470922140001,23.988957895200002,65.1184255887,84.766987663,36.13333333333333,7.133635513653124e-05,12.131866206990335,11.84371731297441,1,13,12
Dry chillies,1997,Rabi,Karnataka,4565.0,7895.0,1266.7,434451.05,1415.15,1.869444444,40.09,48.44,19.87,6.425470922140001,23.988957895200002,65.1184255887,84.766987663,36.13333333333333,0.0029156267072511224,8.42639282708974,8.974111581113318,2,13,12
Garlic,1997,Whole Year,Karnataka,5061.0,3799.0,1266.7,481655.37,1568.91,1.585,40.09,48.44,19.87,6.425470922140001,23.988957895200002,65.1184255887,84.766987663,36.13333333333333,0.0026298832090604347,8.529516941105069,8.242756345714477,4,14,12
Ginger,1997,Kharif,Karnataka,3619.0,4745.0,1266.7,344420.23,1121.89,1.262307692,40.09,48.44,19.87,6.425470922140001,23.988957895200002,65.1184255887,84.766987663,36.13333333333333,0.003677763998462,8.194229304819817,8.465057436995709,1,15,12
Groundnut,1997,Kharif,Karnataka,185695.0,304705.5,1266.7,24727596.07,49569.2,0.709411765,40.09,48.44,19.87,6.425470922140001,23.988957895200002,65.1184255887,84.766987663,36.13333333333333,5.122616631184051e-05,12.131866206990335,12.627104297204422,1,17,12
Groundnut,1997,Rabi,Karnataka,185695.0,181071.0,1266.7,18312230.72,49569.2,1.133333333,40.09,48.44,19.87,6.425470922140001,23.988957895200002,65.1184255887,84.766987663,36.13333333333333,6.917234443994902e-05,12.131866206990335,12.106650021205724,2,17,12
Horse-gram,1997,Kharif,Karnataka,178872.0,80124.0,1266.7,17023248.24,49569.2,0.45,40.09,48.44,19.87,6.425470922140001,23.988957895200002,65.1184255887,84.766987663,36.13333333333333,7.441000141286776e-05,12.09443133580393,11.291343194222971,1,19,12
Horse-gram,1997,Rabi,Karnataka,163173.0,82572.0,1266.7,15529174.41,49569.2,0.514705882,40.09,48.44,19.87,6.425470922140001,23.988957895200002,65.1184255887,84.766987663,36.13333333333333,8.156904449571158e-05,12.002572395094873,11.32143802955998,2,19,12
Jowar,1997,Kharif,Karnataka,185695.0,304705.5,1266.7,24727596.07,49569.2,1.228,40.09,48.44,19.87,6.425470922140001,23.988957895200002,65.1184255887,84.766987663,36.13333333333333,5.122616631184051e-05,12.131866206990335,12.627104297204422,1,20,12
Jowar,1997,Rabi,Karnataka,185695.0,304705.5,1266.7,24727596.07,49569.2,0.510714286,40.09,48.44,19.87,6.425470922140001,23.988957895200002,65.1184255887,84.766987663,36.13333333333333,5.122616631184051e-05,12.131866206990335,12.627104297204422,2,20,12
