Model,R2,RMSE,MAE,MAPE (%)
Linear Regression,0.21274356601435573,1.4586020191952214,1.1178882003724833,148.52129193320462
Decision Tree Regressor,0.8099015332640972,0.7167505058322394,0.4090218114136621,58.29963398987492
Random Forest Regressor,0.9176864073129394,0.47164418015242277,0.24509729357833926,31.346114452910932
